id,affiliate_id,total_clicks,total_earnings,current_level_id,level_progress,clicks_this_month,clicks_this_week,rank_position,updated_at
b0742b4e-3965-4e1f-9858-09f21f982667,b683ecab-1d2c-4a00-b1fc-c4ae5f7a7d0a,1,68,1,,1,0,1,2026-07-27 06:00:00.261634+00
0b8088b7-9128-48fb-826b-d40c78454789,ad5f899c-8435-4107-b88a-4f096479b41b,1,65,1,,1,0,2,2026-07-27 06:00:00.261634+00
782cadc6-21c3-44d4-8bd2-6af080cab9ee,8aa7af7e-d093-40d7-b96e-233b837460db,0,0,1,0.00,0,0,,2026-07-27 06:00:00.261634+00
1af2f784-04bb-4b12-a5a2-c68ae1c1e371,c5b70e56-0957-4692-9222-847d1d109820,0,0,1,0.00,0,0,,2026-07-27 06:00:00.261634+00
