id,offer_id,client_ip,created_at
27ad8563-4e3b-4aca-8c66-95f9e4e7a5de,c6d5f839-9d64-4d81-9225-2e0c2d6700ef,,2025-12-13 19:29:20.164989+00
c2fc571e-166c-4247-9099-88bd4c0a0583,c6d5f839-9d64-4d81-9225-2e0c2d6700ef,,2025-12-13 21:23:44.15318+00
a9454821-f3ce-488d-8665-85a0715754cd,c6d5f839-9d64-4d81-9225-2e0c2d6700ef,,2025-12-13 21:45:23.344255+00
8b8916de-5d4b-4fc4-aa21-1dd4ce31266e,c6d5f839-9d64-4d81-9225-2e0c2d6700ef,,2025-12-13 21:58:52.732235+00
4f257cb1-92ac-4450-afdb-d8594d648730,c6d5f839-9d64-4d81-9225-2e0c2d6700ef,,2025-12-13 22:05:35.05997+00
5ba98add-7b7a-48a2-b851-db48ce448643,c6d5f839-9d64-4d81-9225-2e0c2d6700ef,,2025-12-13 22:06:04.483169+00
93dace9b-ee88-4285-8e8a-694f46bcaa20,c6d5f839-9d64-4d81-9225-2e0c2d6700ef,,2025-12-13 22:32:56.600811+00
a64622e3-927d-43e3-9c6c-8f1e84601ca4,c6d5f839-9d64-4d81-9225-2e0c2d6700ef,,2025-12-13 22:36:53.601179+00
dfd88464-4770-467a-84d4-9bb28ba737cb,c6d5f839-9d64-4d81-9225-2e0c2d6700ef,,2025-12-13 22:39:32.716372+00
313c4667-1198-4508-9c4f-3e1228390e03,3ae65d23-d087-4503-977d-a430f9672775,,2025-12-13 23:00:45.701694+00
a139a7e9-a730-4199-ab0c-51679129f92c,3ae65d23-d087-4503-977d-a430f9672775,,2025-12-13 23:33:01.014516+00
330a9c04-2a6a-4fa4-aa84-f093b226a040,c6d5f839-9d64-4d81-9225-2e0c2d6700ef,,2025-12-13 23:33:33.118564+00
88ca2948-7820-4d18-9d27-6e11cae5d48c,fabee082-6ae6-4254-a264-30ca77bc94ab,,2026-03-04 20:36:03.639402+00
73363dd2-fd3b-48b7-8494-2397b281e044,a6a7353e-cb5f-4726-b047-18f51a94d326,,2026-07-22 18:56:10.787358+00
c0a70535-bf54-45fb-a15a-a602936c80c7,98f2a592-62df-4e51-87c3-2174dbdd883e,,2026-07-22 19:16:57.799379+00
